"transcript","gene","Gene"
"Peer2.0.1.fasta007085-RA","VEGP1"," von Ebner gland protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007086-RA","ATG16L1"," Autophagy-related protein 16-1 (Pongo abelii)"
"Peer2.0.1.fasta007079-RA","SEZ6"," Seizure protein 6 homolog (Homo sapiens)"
"Peer2.0.1.fasta007077-RA","SCAI"," Protein SCAI (Homo sapiens)"
"Peer2.0.1.fasta007078-RA","PPP6C"," Serine/threonine-protein phosphatase 6 catalytic subunit (Mus musculus)"
"Peer2.0.1.fasta007089-RA","DIPK1B"," Divergent protein kinase domain 1B (Mus musculus)"
"Peer2.0.1.fasta007088-RA","DIPK1B"," Divergent protein kinase domain 1B (Mus musculus)"
"Peer2.0.1.fasta007087-RA",NA,NA
"Peer2.0.1.fasta007090-RA","AGPAT2"," 1-acyl-sn-glycerol-3-phosphate acyltransferase beta (Mus musculus)"
"Peer2.0.1.fasta007091-RA","EGFL7"," Epidermal growth factor-like protein 7 (Rattus norvegicus)"
"Peer2.0.1.fasta007083-RA","ABO"," Histo-blood group ABO system transferase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007103-RA","CCDC187"," Coiled-coil domain-containing protein 187 (Mus musculus)"
"Peer2.0.1.fasta007104-RA","ERBIN"," Erbin (Mus musculus)"
"Peer2.0.1.fasta007102-RA","GPSM1"," G-protein-signaling modulator 1 (Homo sapiens)"
"Peer2.0.1.fasta007105-RA","QSOX2"," Sulfhydryl oxidase 2 (Mus musculus)"
"Peer2.0.1.fasta007106-RA","LHX3"," LIM/homeobox protein Lhx3 (Mus musculus)"
"Peer2.0.1.fasta007108-RA","NACC2"," Nucleus accumbens-associated protein 2 (Homo sapiens)"
"Peer2.0.1.fasta007107-RA","TMEM250"," Transmembrane protein 250 (Homo sapiens)"
"Peer2.0.1.fasta007110-RA","UBAC1"," Ubiquitin-associated domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007109-RA","NACC2"," Nucleus accumbens-associated protein 2 (Homo sapiens)"
"Peer2.0.1.fasta007095-RA","SEC16A"," Protein transport protein Sec16A (Mus musculus)"
"Peer2.0.1.fasta007099-RA","SNAPC4"," snRNA-activating protein complex subunit 4 (Mus musculus)"
"Peer2.0.1.fasta007096-RA","INPP5E"," Phosphatidylinositol polyphosphate 5-phosphatase type IV (Rattus norvegicus)"
"Peer2.0.1.fasta007100-RA","CARD9"," Caspase recruitment domain-containing protein 9 (Mus musculus)"
"Peer2.0.1.fasta007097-RA","PMPCA"," Mitochondrial-processing peptidase subunit alpha (Pongo abelii)"
"Peer2.0.1.fasta007098-RA","ENTR1"," Endosome-associated-trafficking regulator 1 (Mus musculus)"
"Peer2.0.1.fasta007101-RA","DNLZ"," DNL-type zinc finger protein (Mus musculus)"
"Peer2.0.1.fasta007111-RA","CAMSAP1"," Calmodulin-regulated spectrin-associated protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007112-RA","AOC3"," Membrane primary amine oxidase (Mus musculus)"
"Peer2.0.1.fasta007113-RA","AARSD1"," Alanyl-tRNA editing protein Aarsd1 (Bos taurus)"
"Peer2.0.1.fasta007114-RA","SOHLH1"," Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007116-RA","GLT6D1"," Glycosyltransferase 6 domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007117-RA","LIPOCALIN CAN F 6.0101 (CANIS LUPUS FAMILIARIS)",NA
"Peer2.0.1.fasta007115-RA","LCN9"," Epididymal-specific lipocalin-9 (Mus musculus)"
"Peer2.0.1.fasta007125-RA","LCN6"," Epididymal-specific lipocalin-6 (Macaca mulatta)"
"Peer2.0.1.fasta007128-RA","LCN8"," Epididymal-specific lipocalin-8 (Mus musculus)"
"Peer2.0.1.fasta007124-RA","LCN10"," Epididymal-specific lipocalin-10 (Mus musculus)"
"Peer2.0.1.fasta007127-RA","LCN5"," Epididymal-specific lipocalin-5 (Mus musculus)"
"Peer2.0.1.fasta007126-RA","BOLA2"," BolA-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta007120-RA","OBP2B"," Odorant-binding protein 2b (Homo sapiens)"
"Peer2.0.1.fasta007123-RA","OBP2A"," Odorant-binding protein 2a (Mus musculus)"
"Peer2.0.1.fasta007121-RA","OBP2A"," Odorant-binding protein 2a (Mus musculus)"
"Peer2.0.1.fasta007119-RA","LCN3"," Vomeronasal secretory protein 1 (Mus musculus)"
"Peer2.0.1.fasta007122-RA","MYCB"," Protein B-Myc (Mus musculus)"
"Peer2.0.1.fasta007118-RA","MUP4"," Major urinary protein 4 (Mus musculus)"
"Peer2.0.1.fasta007140-RA","SGF29"," SAGA-associated factor 29 (Rattus norvegicus)"
"Peer2.0.1.fasta007141-RA","SGF29"," SAGA-associated factor 29 (Rattus norvegicus)"
"Peer2.0.1.fasta007143-RA","PAXX"," Protein PAXX (Mus musculus)"
"Peer2.0.1.fasta007145-RA","ABCA2"," ATP-binding cassette sub-family A member 2 (Homo sapiens)"
"Peer2.0.1.fasta007146-RA","FUT7"," Alpha-(1%2C3)-fucosyltransferase 7 (Mus musculus)"
"Peer2.0.1.fasta007147-RA","NPDC1"," Neural proliferation differentiation and control protein 1 (Mus musculus)"
"Peer2.0.1.fasta007144-RA","CLIC3"," Chloride intracellular channel protein 3 (Mus musculus)"
"Peer2.0.1.fasta007142-RA","PTGDS"," Prostaglandin-H2 D-isomerase (Mus musculus)"
"Peer2.0.1.fasta007094-RA","CC2D2B"," Protein CC2D2B (Homo sapiens)"
"Peer2.0.1.fasta007092-RA","NOTCH1"," Neurogenic locus notch homolog protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007093-RA","NOTCH1"," Neurogenic locus notch homolog protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007151-RA","DPP7"," Dipeptidyl peptidase 2 (Mus musculus)"
"Peer2.0.1.fasta007150-RA","UAP1L1"," UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta007148-RA","ENTPD2"," Ectonucleoside triphosphate diphosphohydrolase 2 (Rattus norvegicus)"
"Peer2.0.1.fasta007149-RA","EPPK1"," Epiplakin (Homo sapiens)"
"Peer2.0.1.fasta007133-RA","AJM1"," Apical junction component 1 homolog (Mus musculus)"
"Peer2.0.1.fasta007135-RA","MAMDC4"," Apical endosomal glycoprotein (Mus musculus)"
"Peer2.0.1.fasta007132-RA","RABL6"," Rab-like protein 6 (Mus musculus)"
"Peer2.0.1.fasta007138-RA","FBXW5"," F-box/WD repeat-containing protein 5 (Mus musculus)"
"Peer2.0.1.fasta007131-RA","CCDC183"," Coiled-coil domain-containing protein 183 (Mus musculus)"
"Peer2.0.1.fasta007137-RA","TRAF2"," TNF receptor-associated factor 2 (Mus musculus)"
"Peer2.0.1.fasta007129-RA","FCN1"," Ficolin-1 (Mus musculus)"
"Peer2.0.1.fasta007139-RA","C8G"," Complement component C8 gamma chain (Mus musculus)"
"Peer2.0.1.fasta007130-RA","TMEM141"," Transmembrane protein 141 (Mus musculus)"
"Peer2.0.1.fasta007134-RA","PHPT1"," 14 kDa phosphohistidine phosphatase (Mus musculus)"
"Peer2.0.1.fasta007136-RA","EDF1"," Endothelial differentiation-related factor 1 (Bos taurus)"
"Peer2.0.1.fasta007172-RA","RPL28"," 60S ribosomal protein L28 (Rattus norvegicus)"
"Peer2.0.1.fasta007153-RA","GRIN1"," Glutamate receptor ionotropic%2C NMDA 1 (Homo sapiens)"
"Peer2.0.1.fasta007155-RA","ANAPC2"," Anaphase-promoting complex subunit 2 (Mus musculus)"
"Peer2.0.1.fasta007152-RA","MAN1B1"," Endoplasmic reticulum mannosyl-oligosaccharide 1%2C2-alpha-mannosidase (Mus musculus)"
"Peer2.0.1.fasta007154-RA","LRRC26"," Leucine-rich repeat-containing protein 26 (Rattus norvegicus)"
"Peer2.0.1.fasta007156-RA","SSNA1"," Sjoegren syndrome nuclear autoantigen 1 homolog (Mus musculus)"
"Peer2.0.1.fasta007179-RA","MRPL41"," 39S ribosomal protein L41%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta007181-RA","ZMYND19"," Zinc finger MYND domain-containing protein 19 (Homo sapiens)"
"Peer2.0.1.fasta007180-RA","DPH7"," Diphthine methyltransferase (Mus musculus)"
"Peer2.0.1.fasta007182-RA","ARRDC1"," Arrestin domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007178-RA","PNPLA7"," Patatin-like phospholipase domain-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta007175-RA","NSMF"," NMDA receptor synaptonuclear signaling and neuronal migration factor (Mus musculus)"
"Peer2.0.1.fasta007176-RA","NSMF"," NMDA receptor synaptonuclear signaling and neuronal migration factor (Mus musculus)"
"Peer2.0.1.fasta007177-RA","PNPLA7"," Patatin-like phospholipase domain-containing protein 7 (Mus musculus)"
"Peer2.0.1.fasta007174-RA","ENTPD8"," Ectonucleoside triphosphate diphosphohydrolase 8 (Mus musculus)"
"Peer2.0.1.fasta007173-RA","NOXA1"," NADPH oxidase activator 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007184-RA","CACNA1B"," Voltage-dependent N-type calcium channel subunit alpha-1B (Homo sapiens)"
"Peer2.0.1.fasta007186-RA","CACNA1B"," Voltage-dependent N-type calcium channel subunit alpha-1B (Homo sapiens)"
"Peer2.0.1.fasta007185-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta007166-RA","TUBB3"," Tubulin beta-3 chain (Rattus norvegicus)"
"Peer2.0.1.fasta007167-RA","FAM166A"," Protein FAM166A (Rattus norvegicus)"
"Peer2.0.1.fasta007171-RA","NRARP"," Notch-regulated ankyrin repeat-containing protein (Mus musculus)"
"Peer2.0.1.fasta007157-RA","TPRN"," Taperin (Rattus norvegicus)"
"Peer2.0.1.fasta007169-RA","NELFB"," Negative elongation factor B (Homo sapiens)"
"Peer2.0.1.fasta007165-RA","SLC34A3"," Sodium-dependent phosphate transport protein 2C (Mus musculus)"
"Peer2.0.1.fasta007160-RA","NDOR1"," NADPH-dependent diflavin oxidoreductase 1 (Mus musculus)"
"Peer2.0.1.fasta007170-RA","TOR4A"," Torsin-4A (Mus musculus)"
"Peer2.0.1.fasta007162-RA","RNF208"," RING finger protein 208 (Mus musculus)"
"Peer2.0.1.fasta007161-RA","RNF183"," E3 ubiquitin-protein ligase RNF183 (Homo sapiens)"
"Peer2.0.1.fasta007168-RA","STPG3"," Protein STPG3 (Homo sapiens)"
"Peer2.0.1.fasta007164-RA","RNF224"," RING finger protein 224 (Mus musculus)"
"Peer2.0.1.fasta007163-RA","CYSRT1"," Cysteine-rich tail protein 1 (Mus musculus)"
"Peer2.0.1.fasta007158-RA","TMEM203"," Transmembrane protein 203 (Mus musculus)"
"Peer2.0.1.fasta007159-RA","TMEM203"," Transmembrane protein 203 (Mus musculus)"
"Peer2.0.1.fasta007183-RA","EHMT1"," Histone-lysine N-methyltransferase EHMT1 (Mus musculus)"
"Peer2.0.1.fasta007191-RA","IL36RN"," Interleukin-36 receptor antagonist protein (Mus musculus)"
"Peer2.0.1.fasta007190-RA","IL1F10"," Interleukin-1 family member 10 (Mus musculus)"
"Peer2.0.1.fasta007192-RA","IL36B"," Interleukin-36 beta (Mus musculus)"
"Peer2.0.1.fasta007194-RA","IL36G"," Interleukin-36 gamma (Mus musculus)"
"Peer2.0.1.fasta007195-RA","IL37"," Interleukin-37 (Homo sapiens)"
"Peer2.0.1.fasta007193-RA","IL36A"," Interleukin-36 alpha (Mus musculus)"
"Peer2.0.1.fasta007188-RA","PSD4"," PH and SEC7 domain-containing protein 4 (Mus musculus)"
"Peer2.0.1.fasta007187-RA","PAX8"," Paired box protein Pax-8 (Canis lupus familiaris)"
"Peer2.0.1.fasta007189-RA","IL1RN"," Interleukin-1 receptor antagonist protein (Mus musculus)"
"Peer2.0.1.fasta007198-RA","ATP5MC2"," ATP synthase F(0) complex subunit C2%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta007196-RA","TBPL2"," TATA box-binding protein-like 2 (Mus musculus)"
"Peer2.0.1.fasta007197-RA","HNMT"," Histamine N-methyltransferase (Rattus norvegicus)"
"Peer2.0.1.fasta007199-RA","SPOPL"," Speckle-type POZ protein-like (Mus musculus)"
"Peer2.0.1.fasta007200-RA","NXPH2"," Neurexophilin-2 (Homo sapiens)"
"Peer2.0.1.fasta007201-RA","TXN"," Thioredoxin (Mus musculus)"
"Peer2.0.1.fasta007202-RA","COL16A1"," Collagen alpha-1(XVI) chain (Homo sapiens)"
"Peer2.0.1.fasta007203-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta007204-RA","LRP1B"," Low-density lipoprotein receptor-related protein 1B (Homo sapiens)"
"Peer2.0.1.fasta007205-RA","LRP1B"," Low-density lipoprotein receptor-related protein 1B (Homo sapiens)"
"Peer2.0.1.fasta007206-RA",NA,NA
"Peer2.0.1.fasta007208-RA","DYNLRB1"," Dynein light chain roadblock-type 1 (Bos taurus)"
"Peer2.0.1.fasta007207-RA","AHNAK2"," Protein AHNAK2 (Homo sapiens)"
"Peer2.0.1.fasta007209-RA","KYNU"," Kynureninase (Mus musculus)"
"Peer2.0.1.fasta007210-RA",NA,NA
"Peer2.0.1.fasta007211-RA","GTDC1"," Glycosyltransferase-like domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta007212-RA","TRPM3"," Transient receptor potential cation channel subfamily M member 3 (Homo sapiens)"
"Peer2.0.1.fasta007213-RA","GTDC1"," Glycosyltransferase-like domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007214-RA","GTDC1"," Glycosyltransferase-like domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007218-RA","STK36"," Serine/threonine-protein kinase 36 (Mus musculus)"
"Peer2.0.1.fasta007217-RA","ADNP2"," Activity-dependent neuroprotector homeobox protein 2 (Mus musculus)"
"Peer2.0.1.fasta007215-RA","ZEB2"," Zinc finger E-box-binding homeobox 2 (Mus musculus)"
"Peer2.0.1.fasta007216-RA","RPL17"," 60S ribosomal protein L17 (Felis catus)"
"Peer2.0.1.fasta007219-RA",NA,NA
"Peer2.0.1.fasta007220-RA","GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE%2C MUSCLE (JACULUS ORIENTALIS)",NA
"Peer2.0.1.fasta007221-RA","ACVR2A"," Activin receptor type-2A (Ovis aries)"
"Peer2.0.1.fasta007222-RA","ORC4"," Origin recognition complex subunit 4 (Cricetulus griseus)"
"Peer2.0.1.fasta007227-RA","EPC2"," Enhancer of polycomb homolog 2 (Mus musculus)"
"Peer2.0.1.fasta007225-RA","MBD5"," Methyl-CpG-binding domain protein 5 (Mus musculus)"
"Peer2.0.1.fasta007226-RA","IPO5"," Importin-5 (Mus musculus)"
"Peer2.0.1.fasta007223-RA","MBD5"," Methyl-CpG-binding domain protein 5 (Mus musculus)"
"Peer2.0.1.fasta007224-RA","IFNT1"," Interferon tau-1 (Bos taurus)"
"Peer2.0.1.fasta007228-RA","EPC2"," Enhancer of polycomb homolog 2 (Mus musculus)"
"Peer2.0.1.fasta007229-RA","ARL2"," ADP-ribosylation factor-like protein 2 (Rattus norvegicus)"
"Peer2.0.1.fasta007230-RA","TUBA1D"," Tubulin alpha-1D chain (Bos taurus)"
"Peer2.0.1.fasta007232-RA","LYPD6B"," Ly6/PLAUR domain-containing protein 6B (Homo sapiens)"
"Peer2.0.1.fasta007233-RA","LYPD6"," Ly6/PLAUR domain-containing protein 6 (Homo sapiens)"
"Peer2.0.1.fasta007234-RA","LYPD6"," Ly6/PLAUR domain-containing protein 6 (Homo sapiens)"
"Peer2.0.1.fasta007235-RA","MMADHC"," Cobalamin trafficking protein CblD (Homo sapiens)"
"Peer2.0.1.fasta007231-RA","KIF5C"," Kinesin heavy chain isoform 5C (Homo sapiens)"
"Peer2.0.1.fasta007236-RA","SUSD1"," Sushi domain-containing protein 1 (Homo sapiens)"
"Peer2.0.1.fasta007237-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta007238-RA","UBE2V1"," Ubiquitin-conjugating enzyme E2 variant 1 (Bos taurus)"
"Peer2.0.1.fasta007239-RA","VAMP3"," Vesicle-associated membrane protein 3 (Mus musculus)"
"Peer2.0.1.fasta007241-RA","TDRD5"," Tudor domain-containing protein 5 (Canis lupus familiaris)"
"Peer2.0.1.fasta007240-RA","RND3"," Rho-related GTP-binding protein RhoE (Mus musculus)"
"Peer2.0.1.fasta007242-RA","TAS2R134"," Taste receptor type 2 member 134 (Rattus norvegicus)"
"Peer2.0.1.fasta007243-RA","SNU13"," NHP2-like protein 1 (Bos taurus)"
"Peer2.0.1.fasta007248-RA","TNFAIP6"," Tumor necrosis factor-inducible gene 6 protein (Homo sapiens)"
"Peer2.0.1.fasta007250-RA","NEB"," Nebulin (Homo sapiens)"
"Peer2.0.1.fasta007251-RA","NEB"," Nebulin (Homo sapiens)"
"Peer2.0.1.fasta007247-RA","COPS7A"," COP9 signalosome complex subunit 7a (Mus musculus)"
"Peer2.0.1.fasta007244-RA","RBM43"," RNA-binding protein 43 (Rattus norvegicus)"
"Peer2.0.1.fasta007245-RA","NMI"," N-myc-interactor (Mus musculus)"
"Peer2.0.1.fasta007246-RA","KIAA1549L"," UPF0606 protein KIAA1549L (Homo sapiens)"
"Peer2.0.1.fasta007254-RA","FSTL5"," Follistatin-related protein 5 (Mus musculus)"
"Peer2.0.1.fasta007255-RA","STAM2"," Signal transducing adapter molecule 2 (Homo sapiens)"
"Peer2.0.1.fasta007256-RA","SSB"," Lupus La protein homolog (Mus musculus)"
"Peer2.0.1.fasta007257-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Bos taurus)"
"Peer2.0.1.fasta007249-RA","RIF1"," Telomere-associated protein RIF1 (Mus musculus)"
"Peer2.0.1.fasta007253-RA","CACNB4"," Voltage-dependent L-type calcium channel subunit beta-4 (Homo sapiens)"
"Peer2.0.1.fasta007252-RA","ARL5A"," ADP-ribosylation factor-like protein 5A (Mus musculus)"
"Peer2.0.1.fasta007260-RA","ARL6IP6"," ADP-ribosylation factor-like protein 6-interacting protein 6 (Mus musculus)"
"Peer2.0.1.fasta007261-RA","APC2"," Adenomatous polyposis coli protein 2 (Homo sapiens)"
"Peer2.0.1.fasta007264-RA","RPRM"," Protein reprimo (Homo sapiens)"
"Peer2.0.1.fasta007263-RA","RPL7A"," 60S ribosomal protein L7a (Mus musculus)"
"Peer2.0.1.fasta007262-RA","RPL7A"," 60S ribosomal protein L7a (Mus musculus)"
"Peer2.0.1.fasta007265-RA","HSPE1"," 10 kDa heat shock protein%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta007266-RA","GALNT13"," Polypeptide N-acetylgalactosaminyltransferase 13 (Mus musculus)"
"Peer2.0.1.fasta007269-RA","PLEKHH2"," Pleckstrin homology domain-containing family H member 2 (Homo sapiens)"
"Peer2.0.1.fasta007268-RA",NA,NA
"Peer2.0.1.fasta007267-RA","GALNT13"," Polypeptide N-acetylgalactosaminyltransferase 13 (Mus musculus)"
"Peer2.0.1.fasta007271-RA","GALNT13"," Polypeptide N-acetylgalactosaminyltransferase 13 (Mus musculus)"
"Peer2.0.1.fasta007272-RA","GALNT13"," Polypeptide N-acetylgalactosaminyltransferase 13 (Mus musculus)"
"Peer2.0.1.fasta007270-RA","GALNT13"," Polypeptide N-acetylgalactosaminyltransferase 13 (Mus musculus)"
"Peer2.0.1.fasta007274-RA","KCNJ3"," G protein-activated inward rectifier potassium channel 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007273-RA","KCNJ3"," G protein-activated inward rectifier potassium channel 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007275-RA","COX15"," Cytochrome c oxidase assembly protein COX15 homolog (Mus musculus)"
"Peer2.0.1.fasta007276-RA","TENM3"," Teneurin-3 (Mus musculus)"
"Peer2.0.1.fasta007278-RA","GPD2"," Glycerol-3-phosphate dehydrogenase%2C mitochondrial (Mesocricetus auratus)"
"Peer2.0.1.fasta007277-RA","NR4A2"," Nuclear receptor subfamily 4 group A member 2 (Pongo abelii)"
"Peer2.0.1.fasta007279-RA","GPD2"," Glycerol-3-phosphate dehydrogenase%2C mitochondrial (Mesocricetus auratus)"
"Peer2.0.1.fasta007280-RA","RPL23A"," 60S ribosomal protein L23a (Rattus norvegicus)"
"Peer2.0.1.fasta007281-RA","RANGRF"," Ran guanine nucleotide release factor (Mus musculus)"
"Peer2.0.1.fasta007259-RA","PRPF40A"," Pre-mRNA-processing factor 40 homolog A (Homo sapiens)"
"Peer2.0.1.fasta007258-RA","FMNL2"," Formin-like protein 2 (Mus musculus)"
"Peer2.0.1.fasta007282-RA","GALNT5"," Polypeptide N-acetylgalactosaminyltransferase 5 (Mus musculus)"
"Peer2.0.1.fasta007283-RA","ERMN"," Ermin (Mus musculus)"
"Peer2.0.1.fasta007286-RA","TMA7"," Translation machinery-associated protein 7 (Bos taurus)"
"Peer2.0.1.fasta007284-RA","CYTIP"," Cytohesin-interacting protein (Rattus norvegicus)"
"Peer2.0.1.fasta007287-RA","ACVR1"," Activin receptor type-1 (Bos taurus)"
"Peer2.0.1.fasta007285-RA","ACVR1C"," Activin receptor type-1C (Rattus norvegicus)"
"Peer2.0.1.fasta007291-RA","PKP4"," Plakophilin-4 (Homo sapiens)"
"Peer2.0.1.fasta007288-RA","UPP2"," Uridine phosphorylase 2 (Mus musculus)"
"Peer2.0.1.fasta007290-RA","MCM6"," DNA replication licensing factor MCM6 (Homo sapiens)"
"Peer2.0.1.fasta007289-RA","CCDC148"," Coiled-coil domain-containing protein 148 (Macaca fascicularis)"
"Peer2.0.1.fasta007292-RA","TLR6"," Toll-like receptor 6 (Dasypus novemcinctus)"
"Peer2.0.1.fasta007294-RA","DAPL1"," Death-associated protein-like 1 (Mus musculus)"
"Peer2.0.1.fasta007295-RA","NDUFS6"," NADH dehydrogenase [ubiquinone] iron-sulfur protein 6%2C mitochondrial (Gorilla gorilla gorilla)"
"Peer2.0.1.fasta007296-RA","SNRPG"," Small nuclear ribonucleoprotein G (Homo sapiens)"
"Peer2.0.1.fasta007297-RA","TANC1"," Protein TANC1 (Mus musculus)"
"Peer2.0.1.fasta007298-RA","TANC1"," Protein TANC1 (Mus musculus)"
"Peer2.0.1.fasta007299-RA","WDSUB1"," WD repeat%2C SAM and U-box domain-containing protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta007301-RA","MARCHF7"," E3 ubiquitin-protein ligase MARCHF7 (Mus musculus)"
"Peer2.0.1.fasta007302-RA","CD302"," CD302 antigen (Mus musculus)"
"Peer2.0.1.fasta007303-RA","RPS16"," 40S ribosomal protein S16 (Sus scrofa)"
"Peer2.0.1.fasta007293-RA","PKP4"," Plakophilin-4 (Homo sapiens)"
"Peer2.0.1.fasta007304-RA","LY75"," Lymphocyte antigen 75 (Mesocricetus auratus)"
"Peer2.0.1.fasta007307-RA","CACNA1D"," Voltage-dependent L-type calcium channel subunit alpha-1D (Homo sapiens)"
"Peer2.0.1.fasta007305-RA","CACNA1I"," Voltage-dependent T-type calcium channel subunit alpha-1I (Homo sapiens)"
"Peer2.0.1.fasta007306-RA","RPL7A"," 60S ribosomal protein L7a (Mus musculus)"
"Peer2.0.1.fasta007309-RA","RBMS1"," RNA-binding motif%2C single-stranded-interacting protein 1 (Homo sapiens)"
"Peer2.0.1.fasta007310-RA","RBMS1"," RNA-binding motif%2C single-stranded-interacting protein 1 (Homo sapiens)"
"Peer2.0.1.fasta007300-RA","BAZ2B"," Bromodomain adjacent to zinc finger domain protein 2B (Homo sapiens)"
"Peer2.0.1.fasta007308-RA","ITGB6"," Integrin beta-6 (Mus musculus)"
"Peer2.0.1.fasta007311-RA","SLC5A1"," Sodium/glucose cotransporter 1 (Fragment) (Sus scrofa)"
"Peer2.0.1.fasta007312-RA","TANK"," TRAF family member-associated NF-kappa-B activator (Mus musculus)"
"Peer2.0.1.fasta007317-RA","DPP4"," Dipeptidyl peptidase 4 (Rattus norvegicus)"
"Peer2.0.1.fasta007316-RA","SLC4A10"," Sodium-driven chloride bicarbonate exchanger (Homo sapiens)"
"Peer2.0.1.fasta007320-RA","IFIH1"," Interferon-induced helicase C domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007314-RA","TBR1"," T-box brain protein 1 (Homo sapiens)"
"Peer2.0.1.fasta007313-RA","PSMD14"," 26S proteasome non-ATPase regulatory subunit 14 (Homo sapiens)"
"Peer2.0.1.fasta007315-RA","KANSL3"," KAT8 regulatory NSL complex subunit 3 (Homo sapiens)"
"Peer2.0.1.fasta007321-RA","IFIH1"," Interferon-induced helicase C domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta007322-RA","GCA"," Grancalcin (Mus musculus)"
"Peer2.0.1.fasta007319-RA","FAP"," Prolyl endopeptidase FAP (Mus musculus)"
"Peer2.0.1.fasta007318-RA","GCG"," Pro-glucagon (Mus musculus)"
"Peer2.0.1.fasta007324-RA","KCNH7"," Potassium voltage-gated channel subfamily H member 7 (Homo sapiens)"
"Peer2.0.1.fasta007325-RA","PATE2"," Prostate and testis expressed protein 2 (Homo sapiens)"
"Peer2.0.1.fasta007326-RA","FIGN"," Fidgetin (Mus musculus)"
"Peer2.0.1.fasta007323-RA","KCNH7"," Potassium voltage-gated channel subfamily H member 7 (Homo sapiens)"
"Peer2.0.1.fasta007327-RA","GRB14"," Growth factor receptor-bound protein 14 (Rattus norvegicus)"
"Peer2.0.1.fasta007328-RA","COBLL1"," Cordon-bleu protein-like 1 (Mus musculus)"
"Peer2.0.1.fasta007329-RA","COBLL1"," Cordon-bleu protein-like 1 (Mus musculus)"
